token_input,token_output
MJBTGTGFJJB,BBCYGOYGLLI
DTTGFEBGEKU,ZZWXJQXHIZO
SEOAQUNJHMI,IRWBHTBGQKX
KRTWURVQHVO,VCLJDFADTAY
RBCVANCTASS,OSJQRDSLFYR
LOLBPXBZPGR,REVXCDTFDNR
FXATGIOQHVI,NZFKCDXDYUL
VTDBVSXYVGT,XQXVUBBWWVX
WRNTHUYLZGR,LXQROXHCFBB
KJBZAQOMQLT,VFIYUXYFVIO
SGQITUCBVKO,IYWXRJXHPVL
CSILMDALLIS,KOGGWTRCXRC
QOVYDIIAIVH,KJYROEMPBRO
TJABKLWMPBL,DAZKNAQYVWL
BPJPDRWWWWV,QVNUEKBZLYR
ATXHLEVCBLY,JJGRCUCYEZN
SDXLDUROVOI,KZGTMNYSQOS
UOCFDKAZGWD,GZJPIOOMKFH
JNHIPPAZEEQ,MOURKGXVRIL
FFNWBJPPAPI,VTLHYGERHVB
HQVGKXVFNTR,QVCWXMYSUHM
RRPYIGLEMYD,YXQCHAEYLTT
CAGLMUYJZYV,MPUBYHTVHQP
UUOOHILCDFP,STUKQDXZNVA
YPFPEAZULKW,MCBONZYBWKX
YEIWRVVCYEY,SXJPWRLXTFK
WFZRAPIVQOJ,GYJKSQXNGOM
AQCEOODUADY,FQSJPLWBZTA
PXQZNWXTYKC,LKKYPUTNFYH
RKOYEFWQQMI,DEYJEEMFGPR
CTDPLJURKHJ,UDNMSVWOGLD
ZTKUNSHIYHG,ZHYJDIOFSSV
LYWUNNYUNQF,WAIXMHVXYQC
TPTWWAHCALQ,SABXUFNXTUK
FAATFTIDQEA,GXCLDZSVVFV
ZOBSISIORUH,KPKCXOPGQUN
WMEMHCPXCKC,HHNUAZPDBIL
XGMXNFTNDRY,WVGQZCGZHDS
EBHRQTDGADE,NNMCOXQASSB
DZIQDDPCGSD,GZWSGECEAXA
YKFXPQFNEWY,EVZXBUVNEPA
ELZJDDZWJOU,GISMXUADHRV
DIONTWNZBDU,MQIWJNILCMO
HRZTPQQOWGA,QPGKMQFRFWK
GSIAKZODBDR,MUABHKKGQOX
TUHMTWYBUSN,ALEDWNPZYRL
CWSXAZXICVF,RHGSKZHOHQS
OYWTHQQETZZ,SJKQNXGXZZC
IEHBDKPMMUZ,HWNJBWVKEVD
OMYAMYEFEGX,ZCNXVXBRMCP
BRBOKWJNFZS,QJJSXHSZQQG
ZRLFQNNCMWJ,XDYMOPGYXPA
FGJBOWHAIET,UMCLVLDRFKD
XUZUMJRVFUU,XFPVKAWFSKG
GJBGXWBQTLJ,UMTHCOKDIMT
EQVQEFMCGPP,OUQHDYKBTAO
VIGRECBPFYL,WIQZINQNEZH
IRQXPBDJVAI,AQORZTPQIXT
MBENMFGDPWS,TGLQERZMIWQ
LIVGYMTWYNK,EQOIWBXCLBQ
QIUFGBUCUDF,ZYDGSUYOJOR
ZLVXPTKIUPD,FXBGCVRHXCW
LBLENHCWPXA,QIWMPTGAEMR
ZMLJZKSTMJY,WWQUGTDXSBX
NLYKFRDZFDQ,AGVKTTOQPJO
GOKJJWTMHJZ,SOAEQYKMEZW
FXUYTHPAPNG,WTBPUBUBUSL
GJCWTTTNHEH,RYVRZGDFSDZ
LDWSDEWWYNZ,KECHUWQKQFV
QKKGNLILRQM,AYSUMWZAPNE
MOBULUXNIUE,XPKAOCHMXDE
POXHOLZSTUO,XMUSCORHBLE
XOUTQQZAKFW,RNPIXPXTATF
VPLTTKVWJGG,XIPCZNIQBXG
DQMTVTZSKUG,JXISTWZDXOG
GOJZVEYDXNP,HUTNCFBOFDH
TZKOQDTHEND,SNJPPRBRHRX
ZVOHKUSKTQZ,GGNWQINCGQI
RKXDOMSZLVA,GGAKZLVVQBW
WXBIVYDBEYJ,ACKHJWNGFNL
WBUJAXTAIMX,ZFUXZIVXITA
UYELJBEXLOR,VXGTUVKXQFG
LBADOVOVMAO,FACTWNEDSTW
PVWWUXEOCLV,SRENMYIZSHY
LUSBMGHXLMR,VTVJIUUPFKA
FANKWJBLEFR,BLTRYYDJLOM
FQZCUSPFZVW,XHLLZGNQPXL
OAQGBQMRPKJ,GMIOTLHNJHV
SFRESHHPPFQ,KGFXQVXXOHA
MESJGVKSVUT,LTXOJYUTXIZ
ENMQACICBHI,LURPMRUOKJZ
APWLRECXGIR,TLLMGWBRUSK
NRWBKARMULB,SRDWQHEKODU
SOKNKLUYQMA,CEZKAOKSQAJ
TKNTNKEYMLQ,BECOIYXHUIA
QLTYZOBMKZQ,RAYTYTFSAGQ
LUGBPSDYHOA,QTGAMIHWZLV
GPRNEZGWVZN,UFNZLBUGFIZ
BUTUGMRGVOW,QQYXLPCTVPY
MREFSMYOTTJ,QPBOICDQOBU
