token_input,token_output
ULHOZYUSBU,SJSUOHINBF
RFCQPPLGTM,LOPANDECLM
VROAMDLQZY,DAJNVTPNXO
GPAVXCCXJI,YGOVDZCZGA
HWJNKAKYDQ,CPPDOZFJNK
MFWZOCZOXZ,ELTFFEYQMB
FOCPDMAMAA,ZEDXUDTHXB
YHZNDSGFPZ,RRZKBOZNRN
GCKIQSWYJN,WVUTDMOWCH
CEWNPKUENX,SPIMCIOXAZ
MMUSSOLHPW,QZLAARCJJB
UBBJSPTRZT,ZAKRSZHDXZ
QHYIAUBTPT,YDVGNMRMTJ
LVKBKPQADC,BNSEINFXMB
LDNNRQKBEM,FZVUGIUCUX
EGRPZRBWRU,GAGFUPGALE
EVMLVMCUUK,NPEMYOGJWE
AHLKIPOEAB,WCXLFYDFHN
JMRVRFIDTJ,SDANYFBQDH
ISNZYIPFCE,QQTDQCKOES
CUGCYNCQEL,KBENIJVDIM
KKNSGJJVVA,NJSLMDSXGG
YLDQQJIPLL,UZFEBSHRIT
CCEHAKGYOU,YAFVHKUOJG
ECAFWCEPUK,AKUSTLKZUS
