token_input,token_output
FSCHMLKTQW,RTKUFHFEEV
LVFVHMNXDU,UOQAFLTIAR
LPYGNCHCLK,VEMFCOIBFP
PYWVBROIXY,GMFCMKLTPG
VNEQNBJYWI,RIXDEMHBWY
FDEEMERWGH,FFGXKJTXWN
CSDBDONXHM,ZJPDHKNSQX
NPBRQZPQNM,LUXXLLVEUY
XIIJRIMDYY,XGFCVKKAJG
XDONFTGCUN,HYJCBAJBYW
FJNWEZSYXU,EQTOWBORXB
CNZFQLPEAA,TUNSJNEISV
JUHCDYIDXA,AQDZDORNGU
KPFNGXLAXQ,MJMDGOBFBK
BRXCUTOXGP,JYACLYASZY
IGVSFMTWQM,ZLUYHDFTQS
LIGSOUEAZF,VSIGVONZDD
FJBQMKWQCP,FNECQQSPIJ
MHZLWTBVEB,FQFTCENAHE
BIJGKEACWC,AFIZJQUVDY
RRSWTSAECW,PPJAIRGPFL
YFOREBCGQV,CONBHVXFIL
HFKSWEFOSF,GRGOKBSIIX
YWJQDUVOFE,GYSQBYMYUX
NPSHNBOOZY,FLOWLLZXJV
TGBXWXCWBT,INXZVYZGQZ
SQXCGEWKJW,ZUEPTSNPTY
XAGXMJGVYG,BWGXTPEZDF
JPXIRNTBAN,YYDCRCBFDN
EBLEZJFNWR,WPQHVOUBVS
XOBJPXEDEQ,JAUAJZQTVM
KCCMHFRHDA,EUFNBILGMA
AJAKPBLBBN,ICRMPBDENI
SJVEYEIZES,FEZGZXFVDC
MIUJLBRRXV,NUCWLORTDB
HLCVQKYXLW,GCZJVMTHDY
KBJCVICVSM,TSJKPVGYCI
AELGNRQDZP,DZDEYEAMDP
QYIHKKCJNP,IQWCYGLVLL
LTVFGGWBVE,PUGXYRZLDV
